headword,translations
ausfreßen,ißesti
ausfrieren,ißßalti
ausführen,ißwesti
ausfüllen,ißpilditi; ißleisti
ausfuttern,ißmaitinti
ausgab,ißdawimas
ausgang,ißejimas
ausgeben,ißdûti
ausgebrandter ort,ißdagas
ausgedehnt,iswirßczias
ausgehen,ißeiti
ausgerben,ißminti; ißdirbti
ausgesproßen,issproges
ausgestreckt,ißtisas
ausgießen,ißlieti; ißpilti
ausgraben,ißkasti
aushalten,ißlaikyti
aushauen,ißkirsti; ißkappoti; ißkalti
ausjacken,ißßaipyti
ausjagen,ißguyti; ißwaryti
ausjäten,ißrauti; ißraweti
auskehren,ißwersti
auskehricht,saßlawos; szukßlei
ausklauben,ißmisliti
auskommen,ißbegti
auskommen,passsiturejimas
auskratzen,ißka yti
auskündigen,ißklausti
auskündigung,ißklausimas
auskundschafften,ißtirdineti
auslachen,ißjûkti
ausladen,ißkrauti
auslaßen,ißleisti
ausleeren,ißtußtinti
auslegen,ißdeti; ißguldyti
ausleger,ißgulditojis
auslegung,ißguldimas
auslehren,ißmokinti
auslernen,ißmokti
ausleschen,ißgessyti
auslochern,ißdûbti
auslösen,ißwadûti
ausmachen,ißlojoti; ißkoloti; ißambyti
ausmelcken,ißmilßti
ausmergeln,ißwarginti
ausmeßen,ißmierûti
ausmisten,ißmeßti
ausmustern,ißmokinti
ausplaudern,ißbranyti
auspolieren,ißßweisti
auspres sen,ißspausti
auspuzen,ißdabinti
ausquetchen,ißspausti
ausrauffen,ißpeßti
ausrechnen,ißrokûti
ausrecken,ißtiesti; ißpieloti
ausrede,ißkalbejimas; issikalbejimas
ausreden,ißkalbeti
ausreiben,ißtrinti
ausreiben,ißtrinti; ußgeßyti
ausreinspern,ißpinûti
ausreißen,ißpleßti
ausreiten,ißjoti
ausrichten,ißtaysyti; ißßprowyti
ausrotten,ißgaißinti
ausruffen,ißaukti
ausruhen,atsûlseti
ausrusten,ißrediti
auß,iß
aussäen,ißseti
aussagen,ißsakyti
aussatz,raupsas
aussauffen,ißgerti; ißbaigti
aussaugen,ißzysti; issurbti; ißsulpti
aussäziger,raupsotas
ausschelten,ißkolloti; ißsibartyti
ausschlaffen,is simiegoti
ausschlagen,issprogti; ißblaßkinti
ausschleiffen,ißtekinti
ausschließen,iskakinti
ausschmeltzen,ißtirpyti
ausschmieren,partepti
ausschmücken,ißrediti
ausschnauben,ißsnypßti
ausschneiden,ißpjauti; ißromiti
ausschneider,romikkas
ausschöpffen,ißsemti
ausschreiben,ißraßyti
ausschreyen,ißsaukti
ausschütten,ißpilti; ißkresti
ausschwizen ausscholen,ißskalauti
außerhalb,aprica
aussetzen,ißstatyti
aussichten,ißsijoti; issiausti
aussinnen,ißdumoti; ißmisliti
aussondern,ißskirti
ausspannen,ißkinkyti
ausspeyen,ißspiauti; ißniekoti
aussprechen,ißkalbeti
aussprießen,ißsprogti
ausspruch,ißkalbejimas
ausspühlen,ißplauti
ausstafieren,ißdabinti; ißgrazinti
ausstatten,ißdûti
ausstauben,ißnieköt; su gedla issiausti
ausstechen,ißdurti
ausstecken,ißkißti
ausstehen,ißkesti
aussteigen,ißkopti; ißlipti
ausstopffen,ißkimßti
ausstoßen,isstumti
ausstrecken,ißtiesti
ausstreichen,ißtrinti; ißgessyti
aussuchen,ißjeßkoti
aussuchen,sujednoti
austauschen,ißmainyti
austheilen,ißdallyti
austheilung,ißdallijimas
austilgen,ißtrinti
austilgung,ißtrinnimas
austragen,ißneßoti
austrauren,ißgeddeti
austreiben,ißwaryti; ißginti
austrennen,ißardyti
austreten,ißminti
austrincken,ißgerti
austrocken,ißdzuti
auswartz,ißwirßcey
auswechseln,ißmainyti
ausweichen,ißmirkti
auswendig,ißwirßaus
auswendig lernen,atmintinai mokinti
auswerffen,ißmesti
auswezen,ißgalansti
auswickeln,ißwinoti
auswinden,ißgreßti
auswisch,ißlûstimas
auswischen,ißszlustiti
auswühlen,ißkristi
auswürcken,ißprowiti; itaisyti
auswürff,ißmetimas
auswürffeln,ißwetiti
auswürgen,ißwerßti
auszahlen,uzmoketi
auszehren,ißczerauti
ausziehen,ißwilkti; is siwilkti; issitraukti; issiauti
auszug,is sitraukimas
axenbrett,kirwinycze
axenhelm,kirwakotis
axt,kirwis
axt so abgenutzet,kaplys
baargeld,penigai
bach,upe; eumenas; paupys
bachstalze,kiele
backen,kepti
