headword,translations
thal,dauba; pakalne; yßlaitas
thaler,dolerus
tham,pilimas
thämmen,pilti
thannapfel,szyszka; skuja
thanne,egle
thannenholtz,eglinne
thannzapff,szyszka; skuja
that,darbas
thatig,darbus
thau,raßa
thauen,atdregti
thauwetter,dregna
theil,dallis; dallykas; parlenkis
theilen,dallyti
theilhafftig,dallywas
theils,dallykais
theilung,dallybos
ther,smala
therbude,smalnycia
therführer,smalininks
theur,brangiey
theur,brangus
theur ist,brangu ira
theur schäzen,branginti
theur werden,pabrangti
theurung,brangummas; brangybe
thier,gywis; zweris
thon,balsas; garsas
thone,batßka
thönen,skambeti; zwageti
thor,durnus; glupas; paikas
thor,wartas
thorheit,durnyste; paikyste; durnybe
thorhüter,wartininkas
thöricht,durnas; paikas
thränen,aßaros
thränen,werkti
thron,tronas
thun,darbas
thun,darryti
thür,durrys; anga
thürangel,sowieska
thürgericht,atwerija
thurm,turmas; temnycia
thurnieren,szelawoti; loßti; sausti; nukti; durnyti
thurnierer,paloßelis; sustas
tieff,gilley
tieff,gillus; aus; gylinay; ausesis
tieffe,gillumas; gillybe
tiegel,pudas
tilgen,ißtrinti
tillsener,tillzenas
tilse,tilze
tisch,stalas
tischfuß,pastale
tischler,dissere
tischtuch,skoterte
tnönicht,molinas; mulûtas
tobackstopsell,tobakniczos wirbalelis
toben,sausti; sauteti; nukti
toben,sautejimas; susta
tochter,dukte
tochtermann,zentas
tocke,lele
tocken,keddenti
tödlich,mertelnas; smertißkas
todt,smertis; giltine
todte,numirrelis
todten,uzmußti; numarinti
todtenbaar,morai
todtenbett,smerties patalas
todtengräber,kapoczei
todtenlied,palaidojimo giesme
todtenopfer,numirrelu apiera
todtschlag,razbajus
todtschlagen,uzmußti
todtschläger,razbaininkas
topff,pûdas
topff überlauffen laßen,nubaginti
topffer,pûdzus
topffflachs,kytágenos linnu
torff,toßis
traben,rißcze begti
tracht,neßojimas
trachten,jeßkoti
trächtig,pritwirkusi karwe; priudrojusi kiaule
tractiren,czestawoti; szenawoti
träg,rambus; letas
tragbarr,trogai
tragen,neßoti; neßti
träger,neßotojis
trägheit,tingejimas
tranck,gerimas
träncken,girditi
tranckgeld,pragerimas
trappe,trapas
traube,reke
trauen,wenczawoti
trauen,weryti
traum,sapnas
träumen,sapnûti
träumer,sapnus
traun,man ding
traur,geddejimas
trauren,geddeti
traurend,geddulingas
traurig,nuludes
traurigkeit,smutka
trauring,wenczawonystes ziedas
traurkleyder,geddulingi kubai
trauung,wenczawone
treber,zaladinos
trecken,traukti
treffen,gaditisi; tropitisi; tropyti; ißtikti; nulemti; uzgauti; attikti
treffen,tropijimas
trefflich,szumnas
treiben,warryti
treiber,waritojis
trennen,ardyti
trennung,ardimas
treppen,lipynes
treu,wiernas
treue,wiernyste; wiernummas
treuffeln,lynoti; laßnoti
treugen,dzowinti; dzuti
treugfleisch,dzuwusi miesa
treulich,wiernay
treuloß,newernas
tribuliren,kwarcziti; bausti
trichter,wáranka
triebel,klapata
triegen,willoti; wilti
triffen,warrweti; laßeti
trincken,gerti
trinckgeschirr,karwatkai
trinckhorn,taure
tritt,zinksnis
triumpf,triumfas
triumpfiren,triumfawoti
trog,lowys
trompet,truba; trimita
trompeten,trimittûti
trompetenschall,trubos garbas
trompeter,trimittninks
tropff,laßas; ßlakas
troppe,pulkas
troppenweiß,pulkais
troßen,laigiti
trost,palinksminojimas
trosten,palinksminti
troster,palinksmintojis; palinksmintojas
trostlich,linksmingay
trotz,ßukßt
trotz,tyczawimas
trozen,tyczoti
trozig,staigus
troziglich,staigiey
trüb machen,drumsti
trübe,drumstus
trubsall,mutka; wargas
trubseelig,smutney; wargiey
trücken,sausas
trucknen,dzowinti; padzauti
trug,prigawimas
trummein,bubinti
trummel,bubinas
trummelschläger,bubininks
trunck,malkas
trunckelbeeren,girtokles
truncken,apgirditi
truncken,girtas
trunckenbold,girtokle
trunckenheit,girtawimas; girtoklyste
tuch,skepeta; millas
tuchmacher,millninkas
tuchscherer,millninkas
tüchtig,adnas
tüchtigkeit,adnyste
tück,smirdyste
tückisch,smirdißkas
tugend,wiezlibyste
tugendsam,wiezlibas
tumult,tranksmas; strokas
tunchen,kroßti; dazyti; item pawilgiti; wilgiti
turcke,turkas
turckey,turku zeme
turckisch,turkißkas
turteltaube,kurklelis
tyrann,smarkininkas
tyranney,smarkyste; markybe; smarkus
übel,piktas
übel,piktay
übelthat,piktybe
übelthater,piktadeja
üben,mokintisi
über,per
über die maße,neredu; newiku; tytweyku
über einen hauffen fallen,parpulti; parklupti; sugruti
über einen hauffen stoßen,pardaußti
überall,wissur
überantworten,ydûti
überauß,abelnay
überbieten,peruliti
überbleiben,liktisi; ißlikti
überbleibener,ißlikkes
überdaß,dar; priegtam
überdielen,ußgreßti
überdrüß,nuboda
überdrüßig werden,nubosti; nugristi
überdrüßiger,nubodes
übereinkommen,sutikti
übereinstimmen,susitarti
übereinturffen,susitaikiti
überfahren,perwazûti
überfallen,uszpulti
überfliegen,perlekti
überflüßig,lyßnay
überfortheilen,apgauti; apzaisti
überführen,perwesti
überführt,brazda
übergab,ydawimas
übergang,perejimas
übergeben,ydûti
übergehen,pereiti
übergießen,perpilti
überhauen,perkirsti
überheben,perkelti
überhebung,perkellimas
überkochen,perwirti
überkommen,aptureti; ygyti
überkrancken,persirgti
überladen,perkrauti
überladen der schuhen,antpirßczei
überlaß,abida
überlaß thun,abiditi
überlaßen,perleisti
überlauff,perbegimas
überlauffen,perbegti
überlaut,didzu balsu
überleben,pragywenti
überlegen,perdeti
überlesen,perskajthti
übermaaß,uzmaczus
übermögen,apigaleti
übermorgen,poritoj
übermürhig werden,ißdikti; iszlepti; isipusti
übermuth,ißdikumas
übermüthig,ißdikes
übermüthiger,ißdikelis
übernehen,persuti
überrechnen,surokûti
überreden,perkalbeti
überredung,perkalbeijmas
übersauffen,persigerti
überschicken,nususti
überschiffen,persiirti
überschreiben,ußraßyti
überschreien,perßaukti
überschreiten,pergalleti
überschreiten,perzengti
überschrifft,ußraßas; paraßas
überschütten,ußpilti
überschwencklich,neapgrebiamas
überschwimmen,ußpluti
übersehen,perzwalgyti
übersetzen im kauff,pabrangyti
übersieden,perwirrinti
überspreiten,ußtiesti
übersteigen,perkopti
überstreben,perklesti
übertreiben,perwaryti
übertreten,pereiti
übertreten,perzengti
übertreter,perzengtojis
übertretung,perzengimas
überwägen,perswerti
überwältigen,ykenkti; yweikti
überwerffen,permesti
überwinden,apgaleti; pergaleti
überwinder,pergaletojis
überwindung,pergaleijmas
überzehlen,perskaititi
überzetz,uzzyczkas
überziehen,apwilkti
überzug,uzualkalas
übrig,atstankas; palaikas; atliekas; lyßnas
übrigsein,atlikti
ückelley,aukßle
ufer,kraßtas wandens
uhr,siegorus
uhrmacher,siegorninks
umb,aplink; delei
umb sich wickeln,apsiwinoti
umbbinden,surißti
umbbringen,nuzavinti
umbdrehen,apsukti
umbeinander,pakarczui
umbfahren,apsilenkti
umbfangen,apimtas
umbfassen,apsikabbinti
umbgeben,apskriesti; apsausti
umbgehen,apsieiti
umbgraben,perkasti
umbgurten,apsijûsti
umbhacken,apkapoti
umbhauen,pakirsti
umbher,applink
umbherfliegen,applink lekkoti
umbherführen,applink wadzoti
umbhergehen,applink waikßczoti
umbhergehen,praeiti
umbherschweben,applink lakstyti
umbherschweiffen,applink bastytisi
umbhersizen,applink sedeti
umbherziehen,applink traukintisi
umbkehren,sugryßti
umbkommen,prazuti; prapulti
umbkreyß,wingis
umbläuffer,bastunas
umblencken,apgreßti
umbpflügen,perarti
umbreißen,pargrauti; partraukti
umbreiten,jodineti
umbringen,apskriesti
umbringet,apskriestas
umbschneiden,appjaustyti
umbschweiff,lanksmas
umbschweiffen,bastitisi
umbsehen,atsigreßti; atsizureti; atsizwelgti
umbsonst,dykay; downay
umbstechen,wedinti; wersti
umbstoßen,parwersti
umbstreicher,pereiwis
umbstürzen,apwersti
umbtheilen,apdallyti
umbtreiben,walkiotisi
umbtreiber,bastunas
umbwechseln,apmainyti
umbwenden,apsukti; apgreßti
umbwerffen,parwersti; apwersti; pargrauti
umbwickeln,apwinoti
umbzäunen,aptwerti
umbzech,pakarczui
umfall,nepagadas
umsezen,perzodinti
umterschenckel,pakulße
unabläßlich,bepalowimo
unachtsam,pasileidusey
unaufflößlich,neatrißamas
unausloschlich,neißgesomas
unaußsprechlich,neißkalbamas
unbarmherzig,nemielaßirdingas
unbarmherzigkeit,nemielaßirdingyste
unbarmherziglich,nemielaßirdingas
unbefleckt,nepateptas
unbegreifflich,neapglobijamas
unbehend,nesukkus
unbekand,nepazystamas
unbekandschafft,nepazintis
unbillig,newertay
unbilligkeit,newertyste
unbußfertig,nepakutawojas
unbußfertigkeit,nepakuta
unchrist,nekrikßconis
unchristlsich,nekrikßczoniskay
und,ir; bey
undanck,nedekingyste
undanckbar,nedekingas
undanckbarkeit,nedekingyste
undiensthafftig,nesluzaunas
uneinig,nesandoringas
uneinigkeit,nesandora
unendlich,be galo
unerhört,negirdetas
unermeßlich,neißmerojimas
unersattlich,nepasotingas
unerschopfflich,neissememas
unfehlbar,tikkray
unfluth,purwas; derklonas
unflüthig,darkus; purwinas; szpotnas
unflüthiger,dergesis; biauresis
unfried,nepakajus
unfruchtbar,newaisingas
unfruchtbarkeit,newaisumas
ungar,wengras
ungarn,wengru zeme
ungebahnet,nepramintas
ungebärdig,arkus
ungebärdig stellen,arkitisi
ungebethen,nekwiestas
ungebühr,nepatogumas
ungebührlich,nepadorey; nepatogey
ungehorsam,nepaklusnumas
ungehorsam,nepaklusnus
ungelegenheit,rabata; klapata; sarmata; slogas
ungelehrt,nemokintas
ungerad,liekas
ungerathen,netikkes
ungerathener,netikkelis
ungereumt,nemandagey; nepadorey
ungerne,neticzomis
ungesalzen,nesuditas
ungeschickligkeit,nepatogiste
ungeschickt,nepatogiey; nepadorey; nettikkusey
ungespalten,neperskeltas
ungestalt,negrazus
ungestüm,dargana
ungestüm seyn,deroti
ungesund,nesweikas
ungewitter,wetra
ungeziefer,gniûsas
unglauben,netikkejimas
ungläubig,netikkys
ungleich,neligus; lyßnas; gruzlûtas; guzzûtas
ungleichheit,nelygumas
unglück,nepalaima
unglücklich,nepalaimingas; nesczestlywas
unglückseeliger,nepalaisunas
unglückselig,nepalaimingas; nesczestlywas
unheil,neyandas
unheilig,neßwentas
unhold,ragana
unkentlich,nepazistamas
unkeusch,newiezlibas
unkraut,kukalei
unlängst,nesennay
unleidlich,nepakenczamas
unnüz,noprosnas
unnüzlich,noprosnay
unrecht,kriwda
unreiff,nesirpes; nenokes; nebrendes
unrein,neczystas
unreinigkeit,neczystibe; neczystumas
unruhe,nepakajus; nepakajawimas
unruhig seyn,nepakajûti; nenurimti
unruhiger kopff,nenurima
unsäglich,neißkalbinas
unsauber,neczystas
unsauberkeit,neczystybe
unschlit,taukai
unschuld,nekaltybe
unschuldig,nekaltas
unseelig,neißganytas
unser,musu
unseriger,musißkas; musißkis
unsicher,nedrasus
unsicherheit,nedrasumas
unsichtbar,neregimay
unsinnig,padukes
unsinnig werden,padukti
unsinniger weyse,klejojenczu budu
unsinnigkeit,klejojimas
unstatt,dargana
unsterblich,nesmertelnas
unsterblichkeit,nesmertelnyste
unstrafflich,nekorotinay
unten,zemay; apacioi
unter,tarp; po
unter andern,tarp kittu
unter des,tu tarpu
unterbett,paklodas
unterdrücken,paslekti
unteregen,paaketi
untereinander,tarp sawes
unterfangen,drysti
unterforschen,ißklausinejimas
untergang,nusileidimas
untergeben,padûti
untergehen,ißgaißti; nusileisti
unterhalten,ißlaikyti
unterhaltung,paßalpa
unterhembd,padurkai
unterköthig,patwirkes
unterkriechen,palisti
unterlaß,palowimas
unterlaßen,palauti
unterlegen,padeti
untermischen,sumaißyti
unternehen,pasuti
unterpfand,pantas
unterpflügen,paarti
unterreden,susikalbeti
unterredner,usikalbetojis
unterredung,susikalbejimas
unterredung halten,susikalbeti
unterrichten,pamokinti
unterrichter,pamokintojis
unterrichtung,pamokinimas
untersagen,uzdrausti
unterscheyd,perskirimas
unterscheyden,perskirti
unterschieben,pastumti
unterschreiben,pasiraßyti
unterschwelle,slenktis
unterste,zemjausesis
unterstechen,pakißti; pabrukti
unterstehen,dristi
unterstreuen,paberti
unterstüzen,paspirti; paremti
untertauchen,narditi; panerti
unterthan,padonas
unterthänig,padonus
unterthänigkeit,padonyste
untertheyl,apatinnis
untertretten,paminti
unterweisen,pamokinti
unterweiser,pamokintojis
unterweisung,pamokinnimas
unterwerffen,pasidûti
unterwerts,zemynlinkay
unterzeichen,pazenklinti
unterziehen,patraukti
untreu,newiernas
untüchtig,newertas; nederingas
untugend,neczystibe; bjaurybe
unverdroß,newargus
unverehlicht,newedes
unverendert,nepermainytas
unvergänglich,nepragaißtas
unverletz,nepazeistas
unvermögend,nenujegjes
unvernunfftig,neprotingas
unversagt,nenussimines
unverschamter,begedis
unversehens,nezinnomis
unverstand,neißmintis
unverstandig,neißmintingas
unversucht,nemegintas
unwarheit,netiesa
unwerth,newertas
unwillig,nerodas
unwilligkeit,rustawimas
unwissend,nezinnomis
unwissenheit,nezinne
unwurdig,negadnas; newertas
unwurdigkeit,newertyste
unzehlig,be skaitlaus
unzeit,ne czesas
unzeitig,neczesu
unzertrennlich,ne perskirtas
unziemlich,nelemtas
unzucht,bjaurybe
unzüchtig,neczystas
urheber,pradetojis
ursach,priezástis
urtheilen,suditi
urtheyl,sudas
üübersetzen,perkelti; persodinti
vagant,bastunas
vagiren,bastitisi
valet,apsisweikinimas
valet geben,atsisweikinti
vater,tewas; tetis
vaterbruder,dede
vaterland,tewißke
vaterlich,tewißkay
vaterliches erbe,tewißke
vaternbruder weib,dedene
venedig,venediie
venerisch,meilus; buinus
venus,meile
veracht,paniekintas
verachten,paniekinti; papeikti
verächter,papeiktajis
verächtlich,papeiktinay
verachtung,paniekinimas
veralten,pasenti
veränderlich,permainjtinay
verändern,permainiti
veränderung,permainimas
verantworten,ußtarti
verantwortung,uztarimas
verarbeiten,pardirbti
verarmen,parwaryti
verbeißen,nutileti
verbergen,paslepti; slepitise
verbeßern,pagerinti
verbeßerung,pagerinimas
verbiten,drausti
verbleiben,passilikti
verbleichen,pabalti
verblenden,apjekinti
verblendung,apjekinimas
verblühen,perzideti
verborgen,pasleptas
verborgener,pasleptasis
verboth,drausme
verbothen,suwadinti
verbrechen,nusideti
verbrecher,nusidetojis
verbrechung,nussidejimas
verbrennen,sudeginti
verbrühen,nußásti
verbündnüß,suderejimas
verdammen,prajudditi
verdammter,prajudditas; prapûles
verdamnüß,prapûlimas; prajuddimas; prapultis
verdecken,ußdengti
verderben,sugaißti; sugaißinti; pateroti; pagadinti; pagesti; gaddinti
verderber,zudditojis
verderbnüß,prapûlimas; sugaißimas; prapultis; pagedimmas
verdienen,nupelnyti
verdienst,pelnas; nupelnimas; uzslugimas
verdinden,sutwerti; suderreti
verdingen,suderreti
verdolmetschen,perwerzti
verdorren,sudzuti
verdrießlich,wangus
verdunckeln,aptemti
verdunckelung,aptemimas
verdürzten laßen,aptrokszkinti
vereheligung,wedimas
verehligen,westi
verehren,padowanoti
verehrung,dowana; dawimas
vereinbahren,suzednoti
vereinigen,suwilniti; sujednoti
vereinigung,sujednojimas; gadas
verfaulen,suputi
verfechten,ustoti; uztarti
verfechter,uztareja
verfechtung,uzstojimas
verfertigen,pagatawiti
verfertigung,pagatawimas
verfinstern,aptempti
verfinsterung,aptemimas
verfließen,praßokti
verfluchen,prakeikti
verflucher,persektinetojis
verflüchter,prakeiktas
verfluchung,prakeikimas
verfolgen,persekineti; persekioti
verfolgung,persekinejimas
verfreßen,suesti
verführen,ißwadzoti
verführer,ißwadzotojis
vergänglich,pragaißtas
vergeben,atleisti
vergebens,noprasnay
vergeblich,noprasnay
vergebung,atleidimas
vergehen,sugaißti; prapulti; surikti; pereiti; suplukti
vergelten,attadûti
vergelter,attadûtojis
vergeltung,attadawimas
vergeßen,ußmirßti; merßeti
vergeßenheit,uzmarßa
vergeßlich,uzmirßtinnay
vergießen,pralieti
vergleich,susilyginimas
vergleichen,prilyginti; suliginti
vergleichung,prilyginimas
vergnüt seyn,pakakti
vergraben,pakasti
vergrößern,padidinti
vergulden,apauksinti
verhalten,elktisi
verharren,pasilikti
verhärten,pakietinti
verhärtung,pakietinnimas
verhauen,uzkirsti
verheelen,paslepti
verheelungsweiß,szlaptomis
verheeren,ißpustiti
verheißen,pazadeti
verheißung,pazadejimas
verhengen,nulemti
verhengnüß,lykimas
verhizen,subjuditi; ißnarßyti
verhöhnen,papeikti
verhöhnung,papeikimas
verhungern,peralkti
verhüten,apjaugoti
verirren,paklisti
verjagen,ißwariti
verjagter,ißwaritassis
verjehren,perrugti
verkauffen,pardûti
verkäuffer,pardûtojis
verkehren mit einen,kupczauti
verklagen,apskusti
verkleiben,uzlipyti; uzlaistyti
verkleibung,uzlipymas
verkleiden,persirediti
verkleidung,persiredjimas
verkleinern,pamazinti
verkleinerung,pamazinnimas
verknüpfen,sumegsti; ßunmazgiu megsti
verknüpfung,sumegimas
verkriechen,pasislepti
verkündigen,praneßti; apreikßti; apskelpti
verkündigung,praneßimas; apreikßkimas
verkürtzen,patrûpinti
verkürtzung,patrummpinimas
verlachen,apjûkti
verlachung,apjûkas
verlahmen,apraißti
verlangen,issiilgti
verlängern,pailginti
verlängerung,pailginimas
verlaßen,apleisti; prastoti
verlaßen sich,nussitiketi
verlebet,pargiwentas
verleckert,smailus
verlegen,ißdeti
verlegen alt,senas
verlegung,ißdejimas
verlernen,ußmirsti
verlesen,paskaityti
verletzen,pazeisti
verletzung,pazeidimas
verleumden,apkalbeti; apraißyti
verleumder,apkalbetojis
verleumdung,apkalbejimas; nûtartis
verleyhen,sutekti; paswalyti
verlieben,pamegti; palubyti
verlieren,pamesti; prarasti; patrotiti
verlierung,pametimas
verloben,derreti
verlöbnüß,derribos
verlust,pametimas; patrotijimas
vermachen,sudaryti; uzdaryti
vermag viel,gal
vermahnen,graudenti
vermahnung,graudenimas
vermaladeyen,prakeikti
vermaladeyung,prakeikimas
vermehren,dauksinti; paduksinti
vermehrer,paduksintojis
vermehrung,paduksinimas
vermengen,sumißymas
vermengen,sumißyti
vermercken,suprasti; numanyti
vermeyden,ißwengti
vermeydung,wengimas
vermeynen,dumoti
vermiethen,parsamdyti
vermischen,sumayßyti
vermischung,maißtas
vermittelst,su
vermögen,nujegjimas
vermögen,nujegti; galleti
vermögender,nujegjas
vermüden,apilsti; pailsti
vermummen,apßigobti
vermummert,apsigobes
vernageln,uzkalti
vernarren,pernarroti
vernascht,smailus
vernehen,ussuti
vernehmen,ißmanyti; girdeti
vernehmlich,ißkiey; permanitinay
verneinen,uzginti; uzmellûti
verneinung,ussiginimas; uzginimas
verneuren,atnaujinti
verneurung,atnaujinimas
vernicken,nikstereti
vernuften,peikti
vernunfft,protas
vernünfftig,protingas
verordnen,paskirti; prilikti
verordnung,paskirimas
verpeihen,uzsakkûti
verpfänden,uzstatyti
verpraßen,praryti
verrathen,ißdoti; sdroditi
verräther,sdrodininkas
verrätherey,sdroda
verreisen,ißkellauti
verreißen,patrukti
verrichten,atlikti
verrichtung,ißtaisimas
verriegeln,ußkißti
verrosten,surudyti
verruffen,nukereti
verruntzeln,surugti
vers,wirsikulas
versaltzen,persudyti
versaltzenespeyse,persudytas wyrylas
versamlen,susirinkti
versamlung,susirinkimas; kûpa
versäuffen,pragerti
versäumen,uzgaißyti; uztrukti
versäumnüß,uzgaißimas; uztrukimas
versäuren,surukti
verschalen,nusistelpti
verscharren,pakasti
verscheuchern,pabaidyti
verscheuen,pasibaidyti
verschicken,nususti
verschieben,uztrukinti
verschimeln,supelleti
verschimmen,apmarkti
verschißen,parszokti
verschlag,skallsa
verschlagen,kellsti
verschlagen,kytrus
verschlagen bier,apßilles allus
verschlagsam,skalsus
verschlemmen,praryti
verschlingen den halß,uzwerßti
verschlüßen,uzrakinti; surakinti
verschmachten,apalpti
verschmähen,ißgedinti
verschmähung,ißgiedinimas
verschmertzen,numausti
verschmieren,partepti
verschneyen,apsnigti
verschonen,paczedyti
verschrecken,ißgandinti; pergandinti
verschrecknuß,pergandinimas
verschrumpfen,surukti
verschulden,nusideti
verschweigen,nutileti
verschwenden,prarasti
verschwendung,praradimas
verschwenen,ussibázyti
verschwinden,prapulti; prazuti; pragaißti; ißgaißti
versehen,nusideti
versehren,pazeisti
versehrung,pazeidimas
versehung,nusidejimas
verseigen,issekti
versencken,nugramzdinti
versengen,suswilliti
versetzen,persodinti; uzstatyti
verseuffzen,atsidusti
versiegeln,uzpeczeti
versiegeln,uzpeczetiti
versincken,nugrimsti
versöhnen,suderinti; sujednoti
versöhner,suderetojis
versöhnlich,suderingas
versöhnung,suderejimas; sujednojimas
versorgen,aprupinti
versorger,aprupintojis
verspäten,pasiwelinti
versperren,ußspiditi
verspeyen,apspjaudyti
verspielen,prazaisti
verspinden,uzspundûti
verspotzen,apjûkti
verspotzung,apiûkas
versprechen,pazadeti
versprechung,zadejimas
verstahlen,ußtwinkti
verständig,ißmintingas; rasumnas
verstandt,ißmintis; rasumas
verstandtlich,permanitynay
verstechen,perdekti
verstecken,paslepti; pasislepti
versterben,ißmirti
verstocken,udkietinti
verstockung,uzkietinimas
verstopfen,uzkimßti
verstopfung,uzsikimßims; uzstojms
verstören,ißpuststi
verstörung,ißpustjimas
verstoßen,patremti; atstumti
verstoßung,patremimas
verstreichen,ißgessiti
verstricken,suraizgyti; ysipainoti; ykluti
verstummen,nutylti
versuchen,meginti; pagunditi; pabanditi
versuchung,pagundimas
vertauschen,permaniti
vertheidigen,uztarti; uzstoti
vertheidigung,uztarimas
vertheilen,ißdallyti
verthun,prarasti
vertieffen,issibristi
vertilgen,ißgessyti; ißtrinti
vertrag,suderejimas
vertragen,sedereti; susigadjiti
vertrauen,nusitikejimas
vertrauen,nusitiketi
vertreiben,prawaryti; praguiti
vertreibener,prawarytas
vertreibung,prawarimas
vertreten,uztarti; uzstoti
vertrinken,pragerti
vertrösten,pazadeti
vertröstung,pazadejimas
vertrucknen,sudzuti
verübeln,padiwyti; rugoti; ruzyti
verunehren,apsibiaurinti
verunreynigen,susitepti
verurtheilen,nusudyti
verwahren,pakawoti; ißdeti
verwahrung,pakawojimas
verwalten,uzweizdeti
verwalter,uzweizda; padwarninks
verwaltung,uzweizdejimas
verwandeln,perwersti; pawirsti
verwandelung,perwertimas; pawirtimas
verwandter,gentis
verwandtschafft,gentyste
verwechseln,perkeisti
verwechslung,perkeitimas
verwehen,apustyti; uzpustyti
verwehen,ißlepinti
verwehert,ißlepes
verweigern,nepazwaljti
verweihen,samirkyti
verweisen,ißwieczyti
verwelcken,pawysti
verwerffen,patremti; atmesti
verwerfflich,atmestimas
verwesen,patreßti; pagesti
verweßlich,patreßes
verweylen,ußtrukty
verweylung,uztrukimas
verweysung,ißwieczijimas
verwircken,nusideti
verwirren,suirti; supainoti
verwirrung,suirrimas
verwunden,ißroniti
verwundern,dywitisi; stebbetysi
verwunderung,dywas; stebbuklas
verwüsten,ißpustyti
verwüstung,ißpustijimas
verzagen,nusiminti
verzagung,nusiminimas
verzärteln,ißlepinti
verzäumen,aptwerti; uztwerti
verzechen,pagerti
verzehlen,pasakyti; pasakauti
verzehren,suesti
verzeichnen,suraßyti
verzeichnüß,suraßas
verzeihen,nepadiwyti
verzeihung,nepadiwas
verziehen,trukti
verztatten,perleisti
verztehen,ißmanyti
verztellen,arkitisi; darkitysi
verztorbener,numirelis
verzucher,gunditojis
verzug,uztrukimas
verzweiffeln,nußiminti
verzweifflung,nusiminnimas
vesper,mißparas
vesperzeit,paludeney
vettel,boba
vexirren,willoti
viehe,galwjies; banda
viehhirt,kerdzus
viehhoff,pridarze
viehisch,galwijißkas
viel,daug
viel lieber,jû mielaus
viel mehr,jû daugiaus
viel weniger,jû mazaus
vielerley,tuleropay
vielfraß,kamßlys
vielheit,daugybe
vielleicht,rassi; mazu
vier,keturi; ketwertas
vierdte,ketwirtas
viererley,ketweropas
vierfüßig,keturkojis
vierhundert,keturi ßimtai
vierjährig,ketwergis
viermahl,keturi kartai
viertausend,keturi tukstanczei
viertheyl,bertainis; ketwirtainis
viertheyl fleisch,czwirtis
viertheyl jahr,ketwirtainis meto
vierzehen,keturolika
vierzehende,keturoliktas; ketwirtas liekas
vierzig,keturos deßimt
vierzigste,ketwirtas deßimtas
viol,smuikas
violen,zybokles
vogel,paukßtis
vogelbaur,gurbelis
volck,zmones
volkommenheit,tobbulyste
voll,pilnas; skliddinas
vollauf fahren,pabengti
vollbringen,pateikti
vollenden,pabaigti; pagineti
vollendung,pabaiga
vollfullen,pripilti
vollig,pilnay; butinay
vollkommen,pilnas; tobulas; aprepnas
vollmond,pilnas
vollsauffen,prisigerti
vollschencken,pripilti
von,iß; nû; nûg; ape
von alter zeit,iß ssennu dienu
von außen,iß lauko
von dann,iß ten
von ferne,iß tolo
von forne,iß prießakkio
von hinten,iß uzpakkalio
von nöthen,priwalus
von nöthen haben,prawersti; priwallyti
von oben herab,iß aukßto
voneinander,iß
voneinander bringen,perskirti
voneinandergehen,atstoti
voneinanderhauen,perkirsti
voneinanderreißen,perplißti; perpleßti
voneinanderschneiden,perpjauti
voneinanderschreiten,issizengti
voneinandertheylen,perdallyti
voneinanderziehen,pertraukti
vor,uz
vor dem,pirm to
vor der thür,uz angos
vor tage,pirm außros
voran,pirma
vorangehen,pirma eiti
voranlauffen,pirmabegti
voranschicken,pirma susti
voranschwimmen,pirma plaukti
vorband,raißtis
vorbereiten,prisiprowiti
vorbereitung,prisiprowijimas
vorbey,pra
vorbinden,pririßti; prijûsti
vorbitt,malda
vorbitten,melsti
vorbrandt,wattka
vordertheyl,pirmgallis
vorenthalten,uzlaikyti
vorfahren,pirmiegi; senniegi; tewai
vorfordern,pawadinti
vorgeben,uzdûti
vorgehen,pirmeiti
vorgestern,uzwakar
vorhalten,permesti
vorhauß,buttas
vorhaut,plewe
vorher,pirm
vorherbesinnen,pirma nulemti
vorhersagen,pirma sakyti
vorherschicken,pirma susti
vorhersehen,pirma regeti
vorherwissen,pirma zinnoti
vorhin,pirmay
vorhinlauffen,pirma begti
vorhoff,priwarte; prianga
vorig,pirmykßcze
vorkommen,pralenkti; pranokti
vorlängst,sennay
vorlauffen,nussidûti
vorlegen,padeti
vorleuchten,pazibbinti
vorlügen,pamellûti
vormuhts,pirmay
vormund,apekunas
vorn jahr,pernay
vornehmen,ketteti
vornehmen,kettinimas
vorrath,zopostas
vorrede,prikalbesis
vorreiten,pirmay joti
vorschreiben,priraßyii
vorschühen,zopaggus pridurti
vorsichtig,paweizdingas
vorsichtiglich,paweizdingay
vorsingen,pirmgiedoti
vorsinger,pirmgiedotojis
vorspannen,pakinkyti
vorstatt,priemiestis
vorstrecken,paberti
vorübergehen,praeiti
vorüberlauffen,prabegti
vorwerffen,prikißti
vorzeiten,pirm
waarte,gaigalas
wache,apsarga
wachen,sergeti; jauteti
wachmeister,wakmistras
wacholder,kadagis
wacholderbeeren,kadagiu ûgos
wacholderstrauch,kadagine
wachs,waßkas
wachsam,sargus; buddrus
wachsamkeit,sargybe; buddryste
wachsen,augti; dygti
wächsen,waßkûti
wachsthum,ûglis
wachtel,piepela; putpela
wächter,sargas; waktorus
wackeln,lingûti; klibbeti; siuboti
wackelnd,klibbas
wacker,budrus
wade,bradinne; bradinnys
wade,marßka; bradinnys
waden,blauzda
waden,bristi; bradzoti
waffen,ginklas
wage,swartis
wagen,wazimmas
wägen,swerti
wagenleiß,weze
wäger,swerikkas
wageschale,szolkai; ßwarrei
waglen schmeer,malla; szmeras
wahr,tikkras
wahre,taworus
währen,patekti
wahrhafftig,teisus; tikkras
wahrheit,teisybe
